trial2,4,1,11,1274,63715,66651,14.223 649 326 346.119 415 571 319.884 549 585 169.359 773 514 295.501 666 459 ,Click1,2,668,456,68637,NA
trial2,4,1,11,1274,63715,66651,14.223 649 326 346.119 415 571 319.884 549 585 169.359 773 514 295.501 666 459 ,Click1,3,676,354,69123,NA
trial2,4,1,11,1274,63715,66651,14.223 649 326 346.119 415 571 319.884 549 585 169.359 773 514 295.501 666 459 ,Click1,4,777,501,69603,NA
trial2,4,1,11,1274,63715,66651,14.223 649 326 346.119 415 571 319.884 549 585 169.359 773 514 295.501 666 459 ,Summary,NA,NA,NA,69612,0.2
trial2,4,1,12,1396,70170,73125,105.611 701 449 189.285 565 539 231.072 551 388 16.1993 527 452 313.11 600 396 ,Click1,0,554,547,73923,NA
trial2,4,1,12,1396,70170,73125,105.611 701 449 189.285 565 539 231.072 551 388 16.1993 527 452 313.11 600 396 ,Click1,1,545,458,74421,NA
trial2,4,1,12,1396,70170,73125,105.611 701 449 189.285 565 539 231.072 551 388 16.1993 527 452 313.11 600 396 ,Click1,2,552,390,74868,NA
trial2,4,1,12,1396,70170,73125,105.611 701 449 189.285 565 539 231.072 551 388 16.1993 527 452 313.11 600 396 ,Click1,3,615,413,75250,NA
trial2,4,1,12,1396,70170,73125,105.611 701 449 189.285 565 539 231.072 551 388 16.1993 527 452 313.11 600 396 ,Click1,4,722,433,75661,NA
trial2,4,1,12,1396,70170,73125,105.611 701 449 189.285 565 539 231.072 551 388 16.1993 527 452 313.11 600 396 ,Summary,NA,NA,NA,75671,0.16
trial2,4,1,13,1504,76142,78781,197.055 549 531 334.789 406 501 37.7781 480 292 15.7127 766 554 336.291 805 237 ,Click1,0,491,299,79704,NA
trial2,4,1,13,1504,76142,78781,197.055 549 531 334.789 406 501 37.7781 480 292 15.7127 766 554 336.291 805 237 ,Click1,1,432,492,80276,NA
trial2,4,1,13,1504,76142,78781,197.055 549 531 334.789 406 501 37.7781 480 292 15.7127 766 554 336.291 805 237 ,Click1,2,526,546,80709,NA
trial2,4,1,13,1504,76142,78781,197.055 549 531 334.789 406 501 37.7781 480 292 15.7127 766 554 336.291 805 237 ,Click1,3,769,279,81327,NA
trial2,4,1,13,1504,76142,78781,197.055 549 531 334.789 406 501 37.7781 480 292 15.7127 766 554 336.291 805 237 ,Click1,4,828,493,81761,NA
trial2,4,1,13,1504,76142,78781,197.055 549 531 334.789 406 501 37.7781 480 292 15.7127 766 554 336.291 805 237 ,Summary,NA,NA,NA,81770,0.42
trial2,4,1,14,1648,82385,85821,332.812 611 417 157.35 530 417 86.8427 553 346 214.57 642 368 120.696 795 397 ,Click1,0,539,415,86682,NA
trial2,4,1,14,1648,82385,85821,332.812 611 417 157.35 530 417 86.8427 553 346 214.57 642 368 120.696 795 397 ,Click1,1,554,355,87314,NA
trial2,4,1,14,1648,82385,85821,332.812 611 417 157.35 530 417 86.8427 553 346 214.57 642 368 120.696 795 397 ,Click1,2,615,434,87860,NA
trial2,4,1,14,1648,82385,85821,332.812 611 417 157.35 530 417 86.8427 553 346 214.57 642 368 120.696 795 397 ,Click1,3,609,389,88623,NA
trial2,4,1,14,1648,82385,85821,332.812 611 417 157.35 530 417 86.8427 553 346 214.57 642 368 120.696 795 397 ,Click1,4,830,332,89415,NA
trial2,4,1,14,1648,82385,85821,332.812 611 417 157.35 530 417 86.8427 553 346 214.57 642 368 120.696 795 397 ,Summary,NA,NA,NA,89430,0.28
trial2,4,1,15,1774,90064,93146,279.882 821 328 331.697 542 414 161.604 459 561 44.9465 554 327 322.833 800 498 ,Click1,0,564,320,93861,NA
trial2,4,1,15,1774,90064,93146,279.882 821 328 331.697 542 414 161.604 459 561 44.9465 554 327 322.833 800 498 ,Click1,1,542,431,94347,NA
trial2,4,1,15,1774,90064,93146,279.882 821 328 331.697 542 414 161.604 459 561 44.9465 554 327 322.833 800 498 ,Click1,2,434,555,94942,NA
trial2,4,1,15,1774,90064,93146,279.882 821 328 331.697 542 414 161.604 459 561 44.9465 554 327 322.833 800 498 ,Click1,3,741,550,95550,NA
trial2,4,1,15,1774,90064,93146,279.882 821 328 331.697 542 414 161.604 459 561 44.9465 554 327 322.833 800 498 ,Click1,4,818,352,96095,NA
trial2,4,1,15,1774,90064,93146,279.882 821 328 331.697 542 414 161.604 459 561 44.9465 554 327 322.833 800 498 ,Summary,NA,NA,NA,96106,0.31
trial2,4,1,16,1898,96639,99662,140.612 677 310 163.362 745 265 320.311 576 358 41.4218 714 367 153.044 714 509 ,Click1,0,574,354,100237,NA
trial2,4,1,16,1898,96639,99662,140.612 677 310 163.362 745 265 320.311 576 358 41.4218 714 367 153.044 714 509 ,Click1,1,731,371,100642,NA
trial2,4,1,16,1898,96639,99662,140.612 677 310 163.362 745 265 320.311 576 358 41.4218 714 367 153.044 714 509 ,Click1,2,665,301,101068,NA
trial2,4,1,16,1898,96639,99662,140.612 677 310 163.362 745 265 320.311 576 358 41.4218 714 367 153.044 714 509 ,Click1,3,742,263,101493,NA
trial2,4,1,16,1898,96639,99662,140.612 677 310 163.362 745 265 320.311 576 358 41.4218 714 367 153.044 714 509 ,Click1,4,688,531,102001,NA
trial2,4,1,16,1898,96639,99662,140.612 677 310 163.362 745 265 320.311 576 358 41.4218 714 367 153.044 714 509 ,Summary,NA,NA,NA,102010,0.15
trial2,4,1,17,1986,102523,104631,131.738 513 435 218.708 562 337 44.9707 463 421 176.226 822 483 153.155 519 579 ,Click1,0,457,407,105527,NA
trial2,4,1,17,1986,102523,104631,131.738 513 435 218.708 562 337 44.9707 463 421 176.226 822 483 153.155 519 579 ,Click1,1,519,421,105939,NA
trial2,4,1,17,1986,102523,104631,131.738 513 435 218.708 562 337 44.9707 463 421 176.226 822 483 153.155 519 579 ,Click1,2,567,326,106476,NA
trial2,4,1,17,1986,102523,104631,131.738 513 435 218.708 562 337 44.9707 463 421 176.226 822 483 153.155 519 579 ,Click1,3,514,563,107025,NA
trial2,4,1,17,1986,102523,104631,131.738 513 435 218.708 562 337 44.9707 463 421 176.226 822 483 153.155 519 579 ,Click1,4,825,467,107776,NA
trial2,4,1,17,1986,102523,104631,131.738 513 435 218.708 562 337 44.9707 463 421 176.226 822 483 153.155 519 579 ,Summary,NA,NA,NA,107789,0.16
trial2,4,1,18,2081,108393,110685,3.35922 649 467 363.827 420 427 8.93736 720 538 162.544 603 531 332.974 617 495 ,Click1,0,617,533,111316,NA
trial2,4,1,18,2081,108393,110685,3.35922 649 467 363.827 420 427 8.93736 720 538 162.544 603 531 332.974 617 495 ,Click1,1,643,489,111698,NA
trial2,4,1,18,2081,108393,110685,3.35922 649 467 363.827 420 427 8.93736 720 538 162.544 603 531 332.974 617 495 ,Click1,2,666,453,112146,NA
trial2,4,1,18,2081,108393,110685,3.35922 649 467 363.827 420 427 8.93736 720 538 162.544 603 531 332.974 617 495 ,Click1,3,728,505,112668,NA
trial2,4,1,18,2081,108393,110685,3.35922 649 467 363.827 420 427 8.93736 720 538 162.544 603 531 332.974 617 495 ,Click1,4,455,390,113345,NA
trial2,4,1,18,2081,108393,110685,3.35922 649 467 363.827 420 427 8.93736 720 538 162.544 603 531 332.974 617 495 ,Summary,NA,NA,NA,113356,0.29
trial2,4,1,19,2187,113897,116474,248.1 662 278 232.697 656 396 213.103 759 508 343.043 411 565 336.997 742 481 ,Click1,0,659,296,117215,NA
trial2,4,1,19,2187,113897,116474,248.1 662 278 232.697 656 396 213.103 759 508 343.043 411 565 336.997 742 481 ,Click1,1,654,373,117707,NA
trial2,4,1,19,2187,113897,116474,248.1 662 278 232.697 656 396 213.103 759 508 343.043 411 565 336.997 742 481 ,Click1,2,732,454,118287,NA
trial2,4,1,19,2187,113897,116474,248.1 662 278 232.697 656 396 213.103 759 508 343.043 411 565 336.997 742 481 ,Click1,3,776,495,118668,NA
trial2,4,1,19,2187,113897,116474,248.1 662 278 232.697 656 396 213.103 759 508 343.043 411 565 336.997 742 481 ,Click1,4,477,501,119155,NA
