trial3,4,1,11,1182,70453,73414,159.692 399 490 183.525 630 235 148.044 514 467 277.722 519 498 172.636 754 418,Click1,2,501,508,75481,NA,,
trial3,4,1,11,1182,70453,73414,159.692 399 490 183.525 630 235 148.044 514 467 277.722 519 498 172.636 754 418,Click1,3,402,469,75891,NA,,
trial3,4,1,11,1182,70453,73414,159.692 399 490 183.525 630 235 148.044 514 467 277.722 519 498 172.636 754 418,Click1,4,834,402,76454,NA,,
trial3,4,1,11,1182,70453,73414,159.692 399 490 183.525 630 235 148.044 514 467 277.722 519 498 172.636 754 418,Summary,NA,NA,NA,76477,0.37,,
trial3,4,1,12,1282,76979,80005,351.225 667 386 3.89 678 216 165.662 743 518 112.942 548 411 358.137 589 574,Click1,0,693,225,80807,NA,,
trial3,4,1,12,1282,76979,80005,351.225 667 386 3.89 678 216 165.662 743 518 112.942 548 411 358.137 589 574,Click1,1,680,383,81355,NA,,
trial3,4,1,12,1282,76979,80005,351.225 667 386 3.89 678 216 165.662 743 518 112.942 548 411 358.137 589 574,Click1,2,550,417,81706,NA,,
trial3,4,1,12,1282,76979,80005,351.225 667 386 3.89 678 216 165.662 743 518 112.942 548 411 358.137 589 574,Click1,3,590,570,82474,NA,,
trial3,4,1,12,1282,76979,80005,351.225 667 386 3.89 678 216 165.662 743 518 112.942 548 411 358.137 589 574,Click1,4,841,493,83124,NA,,
trial3,4,1,12,1282,76979,80005,351.225 667 386 3.89 678 216 165.662 743 518 112.942 548 411 358.137 589 574,Summary,NA,NA,NA,83144,0.28,,
trial3,4,1,13,1384,83862,86977,155.77 884 300 115.122 672 411 357.107 743 546 272.487 619 291 356.457 893 538,Click1,0,621,283,87751,NA,,
trial3,4,1,13,1384,83862,86977,155.77 884 300 115.122 672 411 357.107 743 546 272.487 619 291 356.457 893 538,Click1,1,652,412,88259,NA,,
trial3,4,1,13,1384,83862,86977,155.77 884 300 115.122 672 411 357.107 743 546 272.487 619 291 356.457 893 538,Click1,2,841,332,88723,NA,,
trial3,4,1,13,1384,83862,86977,155.77 884 300 115.122 672 411 357.107 743 546 272.487 619 291 356.457 893 538,Click1,3,688,554,89326,NA,,
trial3,4,1,13,1384,83862,86977,155.77 884 300 115.122 672 411 357.107 743 546 272.487 619 291 356.457 893 538,Click1,4,811,501,89605,NA,,
trial3,4,1,13,1384,83862,86977,155.77 884 300 115.122 672 411 357.107 743 546 272.487 619 291 356.457 893 538,Summary,NA,NA,NA,89621,0.45,,
trial3,4,1,14,1500,90091,93299,119.167 626 456 334.734 512 459 240.544 667 571 118.79 469 421 209.902 692 407,Click1,0,466,392,94147,NA,,
trial3,4,1,14,1500,90091,93299,119.167 626 456 334.734 512 459 240.544 667 571 118.79 469 421 209.902 692 407,Click1,1,515,449,94500,NA,,
trial3,4,1,14,1500,90091,93299,119.167 626 456 334.734 512 459 240.544 667 571 118.79 469 421 209.902 692 407,Click1,2,622,455,94955,NA,,
trial3,4,1,14,1500,90091,93299,119.167 626 456 334.734 512 459 240.544 667 571 118.79 469 421 209.902 692 407,Click1,3,765,342,95278,NA,,
trial3,4,1,14,1500,90091,93299,119.167 626 456 334.734 512 459 240.544 667 571 118.79 469 421 209.902 692 407,Click1,4,713,523,95792,NA,,
trial3,4,1,14,1500,90091,93299,119.167 626 456 334.734 512 459 240.544 667 571 118.79 469 421 209.902 692 407,Summary,NA,NA,NA,95801,0.41,,
