participant_id,test_block,test_type,test_number,,activity_start_time,test_start_time,,description,test_result_0,test_result_1,test_result_2,,,,
testingTimestamp,1,1,3,444,15038,18846,17.8476 420 306 272.091 369 275 334.924 670 243 69.8372 596 362 15.0548 540 469 ,Click1,1,362,261,19641,NA,,
testingTimestamp,1,1,3,444,15038,18846,17.8476 420 306 272.091 369 275 334.924 670 243 69.8372 596 362 15.0548 540 469 ,Click1,2,398,265,19926,NA,,
testingTimestamp,1,1,3,444,15038,18846,17.8476 420 306 272.091 369 275 334.924 670 243 69.8372 596 362 15.0548 540 469 ,Click1,3,398,265,20242,NA,,
testingTimestamp,1,1,3,444,15038,18846,17.8476 420 306 272.091 369 275 334.924 670 243 69.8372 596 362 15.0548 540 469 ,Click1,4,461,335,20464,NA,,
testingTimestamp,1,1,3,444,15038,18846,17.8476 420 306 272.091 369 275 334.924 670 243 69.8372 596 362 15.0548 540 469 ,Summary,NA,NA,NA,20472,0.73,,
testingTimestamp,1,1,1,122,2928,5332,7.92888 583 583 27.3929 654 369 181.829 555 259 336.367 523 566 81.7069 455 496 ,Click1,0,502,252,6175,NA,,
testingTimestamp,1,1,1,122,2928,5332,7.92888 583 583 27.3929 654 369 181.829 555 259 336.367 523 566 81.7069 455 496 ,Click1,1,806,420,6479,NA,,
testingTimestamp,1,1,1,122,2928,5332,7.92888 583 583 27.3929 654 369 181.829 555 259 336.367 523 566 81.7069 455 496 ,Click1,2,515,469,6836,NA,,
testingTimestamp,1,1,1,122,2928,5332,7.92888 583 583 27.3929 654 369 181.829 555 259 336.367 523 566 81.7069 455 496 ,Click1,3,610,391,7129,NA,,
testingTimestamp,1,1,1,122,2928,5332,7.92888 583 583 27.3929 654 369 181.829 555 259 336.367 523 566 81.7069 455 496 ,Click1,4,767,471,7423,NA,,
testingTimestamp,1,1,1,122,2928,5332,7.92888 583 583 27.3929 654 369 181.829 555 259 336.367 523 566 81.7069 455 496 ,Summary,NA,NA,NA,7463,0.88,,
testingTimestamp,1,1,2,278,7999,11143,309.447 613 497 191.115 867 531 52.6487 577 411 169.001 755 435 22.8734 746 584 ,Click1,0,570,400,11711,NA,,
testingTimestamp,1,1,2,278,7999,11143,309.447 613 497 191.115 867 531 52.6487 577 411 169.001 755 435 22.8734 746 584 ,Click1,1,715,523,11998,NA,,
testingTimestamp,1,1,2,278,7999,11143,309.447 613 497 191.115 867 531 52.6487 577 411 169.001 755 435 22.8734 746 584 ,Click1,2,796,426,12329,NA,,
testingTimestamp,1,1,2,278,7999,11143,309.447 613 497 191.115 867 531 52.6487 577 411 169.001 755 435 22.8734 746 584 ,Click1,3,694,436,12608,NA,,
testingTimestamp,1,1,2,278,7999,11143,309.447 613 497 191.115 867 531 52.6487 577 411 169.001 755 435 22.8734 746 584 ,Click1,4,847,567,12930,NA,,
testingTimestamp,1,1,2,278,7999,11143,309.447 613 497 191.115 867 531 52.6487 577 411 169.001 755 435 22.8734 746 584 ,Summary,NA,NA,NA,12939,0.49,,
testingTimestamp,1,1,3,472,13395,17214,185.254 677 584 74.9228 787 394 142.051 594 358 -3.24853 696 484 69.4377 643 250 ,Click1,0,645,289,17895,NA,,
testingTimestamp,1,1,3,472,13395,17214,185.254 677 584 74.9228 787 394 142.051 594 358 -3.24853 696 484 69.4377 643 250 ,Click1,1,560,386,18297,NA,,
